Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Freq (Hz)	Delta Time (s)	Species Name	Special Remarks
1	Spectrogram 1	1	4.507150920	4.672433897	6369.825	8543.005	SHAL-KODAI-BlBl__-0002.WAV.wav	2173.180	0.1653	White Bellied Sholakili	
2	Spectrogram 1	1	4.793663800	5.123043157	5261.929	7751.400	SHAL-KODAI-BlBl__-0002.WAV.wav	2489.471	0.3294	White Bellied Sholakili	
3	Spectrogram 1	1	5.155228891	5.278583409	3024.832	6412.436	SHAL-KODAI-BlBl__-0002.WAV.wav	3387.604	0.1234	White Bellied Sholakili	
5	Spectrogram 1	1	5.342629395	5.665146682	3017.730	4750.592	SHAL-KODAI-BlBl__-0002.WAV.wav	1732.862	0.3225	White Bellied Sholakili	Dual Syrinx ??
6	Spectrogram 1	1	5.713181172	5.813824864	2492.189	3798.938	SHAL-KODAI-BlBl__-0002.WAV.wav	1306.749	0.1006	White Bellied Sholakili	
7	Spectrogram 1	1	5.857284641	5.948778907	3529.066	4736.389	SHAL-KODAI-BlBl__-0002.WAV.wav	1207.323	0.0915	White Bellied Sholakili	
8	Spectrogram 1	1	5.955640977	6.145491578	3713.716	5084.382	SHAL-KODAI-BlBl__-0002.WAV.wav	1370.666	0.1899	White Bellied Sholakili	
10	Spectrogram 1	1	12.882634009	13.037904927	6227.031	8637.494	SHAL-KODAI-BlBl__-0002.WAV.wav	2410.463	0.1553	White Bellied Sholakili	
12	Spectrogram 1	1	13.185088819	13.414760385	6026.159	8155.401	SHAL-KODAI-BlBl__-0002.WAV.wav	2129.242	0.2297	White Bellied Sholakili	
15	Spectrogram 1	1	13.521509141	13.650901573	3093.428	7151.042	SHAL-KODAI-BlBl__-0002.WAV.wav	4057.614	0.1294	White Bellied Sholakili	
16	Spectrogram 1	1	13.710745572	13.980852274	2812.207	4921.363	SHAL-KODAI-BlBl__-0002.WAV.wav	2109.156	0.2701	White Bellied Sholakili	Dual Syrinx
18	Spectrogram 1	1	16.529688943	16.773917158	3195.853	4048.081	SHAL-KODAI-BlBl__-0002.WAV.wav	852.228	0.2442	White Bellied Sholakili	
20	Spectrogram 1	1	17.083648758	17.321407352	3194.037	4128.091	SHAL-KODAI-BlBl__-0002.WAV.wav	934.054	0.2378	White Bellied Sholakili	
21	Spectrogram 1	1	17.516301845	17.763764870	3188.852	4048.182	SHAL-KODAI-BlBl__-0002.WAV.wav	859.330	0.2475	White Bellied Sholakili	
22	Spectrogram 1	1	18.045999150	18.304784013	3188.852	4055.284	SHAL-KODAI-BlBl__-0002.WAV.wav	866.432	0.2588	White Bellied Sholakili	
32	Spectrogram 1	1	21.283485471	21.387560198	6116.551	7404.482	SHAL-KODAI-BlBl__-0002.WAV.wav	1287.931	0.1041	White Bellied Sholakili	
36	Spectrogram 1	1	21.568827352	21.830157849	5333.150	7231.390	SHAL-KODAI-BlBl__-0002.WAV.wav	1898.240	0.2613	White Bellied Sholakili	
38	Spectrogram 1	1	21.894328809	22.359677017	2330.781	6202.588	SHAL-KODAI-BlBl__-0002.WAV.wav	3871.807	0.4653	White Bellied Sholakili	Dual Syrinx ??
41	Spectrogram 1	1	22.428866172	22.722791501	2320.071	3535.346	SHAL-KODAI-BlBl__-0002.WAV.wav	1215.275	0.2939	White Bellied Sholakili	
42	Spectrogram 1	1	22.781115628	22.989836922	3535.346	6488.164	SHAL-KODAI-BlBl__-0002.WAV.wav	2952.818	0.2087	White Bellied Sholakili	
43	Spectrogram 1	1	23.096196300	23.160242286	4660.229	6367.641	SHAL-KODAI-BlBl__-0002.WAV.wav	1707.412	0.0640	White Bellied Sholakili	
44	Spectrogram 1	1	23.163673321	23.322072769	2530.987	4148.006	SHAL-KODAI-BlBl__-0002.WAV.wav	1617.019	0.1584	White Bellied Sholakili	
45	Spectrogram 1	1	23.373536005	23.570820516	2530.987	3113.515	SHAL-KODAI-BlBl__-0002.WAV.wav	582.528	0.1973	White Bellied Sholakili	
71	Spectrogram 1	1	31.403178583	31.636084960	4396.266	4908.490	SHAL-KODAI-BlBl__-0002.WAV.wav	512.224	0.2329	White Bellied Sholakili	
72	Spectrogram 1	1	31.818851770	31.951479012	5074.209	6118.743	SHAL-KODAI-BlBl__-0002.WAV.wav	1044.534	0.1326	White Bellied Sholakili	
73	Spectrogram 1	1	31.946626796	32.202176849	3527.495	4140.154	SHAL-KODAI-BlBl__-0002.WAV.wav	612.659	0.2556	White Bellied Sholakili	
75	Spectrogram 1	1	32.294368454	32.540214075	2251.773	3707.661	SHAL-KODAI-BlBl__-0002.WAV.wav	1455.888	0.2458	White Bellied Sholakili	??
76	Spectrogram 1	1	32.588736237	32.714893857	2150.881	3697.595	SHAL-KODAI-BlBl__-0002.WAV.wav	1546.714	0.1262	White Bellied Sholakili	
77	Spectrogram 1	1	32.795764127	33.094984126	4222.156	5859.263	SHAL-KODAI-BlBl__-0002.WAV.wav	1637.107	0.2992	White Bellied Sholakili	??
78	Spectrogram 1	1	33.143506157	33.431404318	2059.748	6633.369	SHAL-KODAI-BlBl__-0002.WAV.wav	4573.621	0.2879	White Bellied Sholakili	Dual Syrinx
79	Spectrogram 1	1	33.500952750	33.622258155	1974.525	3281.274	SHAL-KODAI-BlBl__-0002.WAV.wav	1306.749	0.1213	White Bellied Sholakili	
88	Spectrogram 1	1	37.217069453	37.454828046	4397.631	4916.673	SHAL-KODAI-BlBl__-0002.WAV.wav	519.042	0.2378	White Bellied Sholakili	
89	Spectrogram 1	1	37.602011937	37.697438856	5428.040	6120.475	SHAL-KODAI-BlBl__-0002.WAV.wav	692.435	0.0954	White Bellied Sholakili	
90	Spectrogram 1	1	37.703908477	37.957841124	3620.608	4313.043	SHAL-KODAI-BlBl__-0002.WAV.wav	692.435	0.2539	White Bellied Sholakili	
91	Spectrogram 1	1	38.053474179	38.172416725	4140.942	5431.591	SHAL-KODAI-BlBl__-0002.WAV.wav	1290.649	0.1189	White Bellied Sholakili	??
121	Spectrogram 1	1	38.176991438	38.259336278	3018.842	4041.515	SHAL-KODAI-BlBl__-0002.WAV.wav	1022.673	0.0823	White Bellied Sholakili	
122	Spectrogram 1	1	38.313089159	38.591002991	2500.404	3537.280	SHAL-KODAI-BlBl__-0002.WAV.wav	1036.876	0.2779	White Bellied Sholakili	
123	Spectrogram 1	1	38.687070955	38.882639948	3182.186	3970.496	SHAL-KODAI-BlBl__-0002.WAV.wav	788.310	0.1956	White Bellied Sholakili	
124	Spectrogram 1	1	38.986713881	39.200581728	5355.366	6370.937	SHAL-KODAI-BlBl__-0002.WAV.wav	1015.571	0.2139	White Bellied Sholakili	
126	Spectrogram 1	1	39.221167938	39.298938064	3700.624	6122.371	SHAL-KODAI-BlBl__-0002.WAV.wav	2421.747	0.0778	White Bellied Sholakili	1 note or several ??
127	Spectrogram 1	1	39.302369099	39.351547267	3011.740	3693.522	SHAL-KODAI-BlBl__-0002.WAV.wav	681.782	0.0492	White Bellied Sholakili	
134	Spectrogram 1	1	44.996460476	45.218045016	4479.952	5005.492	SHAL-KODAI-BlBl__-0002.WAV.wav	525.540	0.2216	White Bellied Sholakili	
135	Spectrogram 1	1	45.373315934	45.452568798	5346.383	6113.388	SHAL-KODAI-BlBl__-0002.WAV.wav	767.005	0.0793	White Bellied Sholakili	
136	Spectrogram 1	1	45.447716582	45.690327391	3613.520	4387.627	SHAL-KODAI-BlBl__-0002.WAV.wav	774.107	0.2426	White Bellied Sholakili	
137	Spectrogram 1	1	45.739656208	45.904631558	2068.782	4050.211	SHAL-KODAI-BlBl__-0002.WAV.wav	1981.429	0.1650	White Bellied Sholakili	??
138	Spectrogram 1	1	45.970231126	46.385958197	3616.996	5413.776	SHAL-KODAI-BlBl__-0002.WAV.wav	1796.780	0.4157	White Bellied Sholakili	??
139	Spectrogram 1	1	46.448285291	46.787957754	4405.306	5960.622	SHAL-KODAI-BlBl__-0002.WAV.wav	1555.316	0.3397	White Bellied Sholakili	
140	Spectrogram 1	1	46.837705991	46.858292201	5158.107	5768.870	SHAL-KODAI-BlBl__-0002.WAV.wav	610.763	0.0206	White Bellied Sholakili	
141	Spectrogram 1	1	46.861723236	46.894318068	4398.204	4923.745	SHAL-KODAI-BlBl__-0002.WAV.wav	525.541	0.0326	White Bellied Sholakili	
142	Spectrogram 1	1	46.901180138	46.970372677	2842.889	4135.434	SHAL-KODAI-BlBl__-0002.WAV.wav	1292.545	0.0692	White Bellied Sholakili	
